site_type,Coordination_Number,Pt1,Fe1,Co1,Ni1,Cu1,Zn1,Pt2,Fe2,Co2,Ni2,Cu2,Zn2,Pt3,Fe3,Co3,Ni3,Cu3,Zn3,Pt_Ratio,Fe_Ratio,Co_Ratio,Ni_Ratio,Cu_Ratio,Zn_Ratio
CuZn,9,0,0,0,0,1,1,3,0,0,0,1,4,2,0,0,2,0,1,0.25,0.03125,0.03125,0.15625,0.25,0.28125
CuZn,9,0,0,0,0,1,1,3,0,0,1,1,3,1,0,0,2,1,1,0.25,0.03125,0.03125,0.15625,0.25,0.28125
ZnZn,9,0,0,0,0,0,2,3,0,0,2,3,0,1,0,0,1,2,1,0.25,0.03125,0.03125,0.15625,0.25,0.28125
PtZn,9,1,0,0,0,0,1,1,0,0,1,3,3,1,0,1,1,1,1,0.25,0.03125,0.03125,0.15625,0.25,0.28125
PtCu,9,1,0,0,0,1,0,1,0,0,1,1,5,1,0,1,2,0,1,0.25,0.03125,0.03125,0.15625,0.25,0.28125
NiZn,9,0,0,0,1,0,1,3,0,0,1,3,1,2,0,0,0,2,1,0.25,0.03125,0.03125,0.15625,0.25,0.28125
PtNi,9,1,0,0,1,0,0,1,0,0,1,3,3,1,0,1,1,1,1,0.25,0.03125,0.03125,0.15625,0.25,0.28125
CuZn,9,0,0,0,0,1,1,3,0,0,0,1,4,2,0,0,2,0,1,0.25,0.03125,0.03125,0.15625,0.25,0.28125
PtZn,9,1,0,0,0,0,1,1,0,0,1,3,3,1,0,1,1,0,2,0.25,0.03125,0.03125,0.15625,0.25,0.28125
ZnZn,9,0,0,0,0,0,2,3,0,0,0,3,2,1,0,1,1,0,2,0.25,0.03125,0.03125,0.15625,0.25,0.28125
ZnZn,9,0,0,0,0,0,2,3,0,0,0,3,2,2,0,0,2,0,1,0.25,0.03125,0.03125,0.15625,0.25,0.28125
NiCu,9,0,0,0,1,1,0,3,0,0,1,1,3,1,1,1,1,1,0,0.25,0.03125,0.03125,0.15625,0.25,0.28125
NiCu,9,0,0,0,1,1,0,3,0,0,1,1,3,1,1,1,0,1,1,0.25,0.03125,0.03125,0.15625,0.25,0.28125
NiNi,9,0,0,0,2,0,0,3,0,0,0,3,2,1,0,0,1,2,1,0.25,0.03125,0.03125,0.15625,0.25,0.28125
CuCu,9,0,0,0,0,2,0,3,0,2,0,0,3,2,0,0,1,0,2,0.25,0.03125,0.09375,0.25,0.0625,0.3125
CuZn,9,0,0,0,0,1,1,3,0,1,2,1,1,2,0,0,1,0,2,0.25,0.03125,0.09375,0.25,0.0625,0.3125
CuZn,9,0,0,0,0,1,1,3,0,1,2,1,1,1,0,1,1,0,2,0.25,0.03125,0.09375,0.25,0.0625,0.3125
PtCu,9,1,0,0,0,1,0,1,0,1,2,1,3,1,1,1,1,0,1,0.25,0.03125,0.09375,0.25,0.0625,0.3125
CoCu,9,0,0,1,0,1,0,3,0,1,0,1,3,1,0,0,2,0,2,0.25,0.03125,0.09375,0.25,0.0625,0.3125
CoZn,9,0,0,1,0,0,1,3,0,1,2,1,1,2,0,0,1,0,2,0.25,0.03125,0.09375,0.25,0.0625,0.3125
PtCo,9,1,0,1,0,0,0,1,0,1,2,1,3,1,0,0,1,0,3,0.25,0.03125,0.09375,0.25,0.0625,0.3125
PtZn,9,1,0,0,0,0,1,1,0,2,3,1,1,1,0,1,1,0,2,0.25,0.03125,0.09375,0.25,0.0625,0.3125
CoNi,9,0,0,1,1,0,0,3,0,0,2,3,0,1,0,1,1,1,1,0.25,0.03125,0.21875,0.15625,0.28125,0.0625
NiNi,9,0,0,0,2,0,0,3,0,1,1,3,0,2,0,2,0,1,0,0.25,0.03125,0.21875,0.15625,0.28125,0.0625
NiCu,9,0,0,0,1,1,0,3,0,1,2,2,0,1,0,2,1,1,0,0.25,0.03125,0.21875,0.15625,0.28125,0.0625
NiNi,9,0,0,0,2,0,0,3,1,2,1,1,0,2,0,2,0,1,0,0.25,0.03125,0.21875,0.15625,0.28125,0.0625
PtNi,9,1,0,0,1,0,0,1,1,2,2,2,0,1,0,1,0,1,2,0.25,0.03125,0.21875,0.15625,0.28125,0.0625
NiNi,9,0,0,0,2,0,0,3,1,1,1,2,0,2,0,2,0,1,0,0.25,0.03125,0.21875,0.15625,0.28125,0.0625
PtCu,9,1,0,0,0,1,0,1,1,3,1,2,0,1,0,1,2,1,0,0.25,0.03125,0.21875,0.15625,0.28125,0.0625
FeCu,9,0,1,0,0,1,0,3,0,3,2,0,0,2,0,2,0,1,0,0.25,0.03125,0.21875,0.15625,0.28125,0.0625
CuCu,9,0,0,0,0,2,0,3,0,3,0,2,0,1,0,0,0,2,2,0.25,0.03125,0.21875,0.15625,0.28125,0.0625
CuCu,9,0,0,0,0,2,0,3,0,2,1,2,0,2,0,0,1,1,1,0.25,0.03125,0.21875,0.15625,0.28125,0.0625
CoNi,9,0,0,1,1,0,0,3,1,0,2,2,0,1,0,1,1,1,1,0.25,0.03125,0.21875,0.15625,0.28125,0.0625
FeCo,9,0,1,1,0,0,0,3,0,1,1,3,0,1,0,1,1,1,1,0.25,0.03125,0.21875,0.15625,0.28125,0.0625
FeNi,9,0,1,0,1,0,0,3,0,2,2,1,0,1,0,2,0,2,0,0.25,0.03125,0.21875,0.15625,0.28125,0.0625
PtCo,9,1,0,1,0,0,0,1,1,1,1,4,0,1,0,0,2,1,1,0.25,0.03125,0.21875,0.15625,0.28125,0.0625
PtFe,9,1,1,0,0,0,0,1,0,2,2,3,0,1,0,2,0,2,0,0.25,0.03125,0.21875,0.15625,0.28125,0.0625
CoZn,9,0,0,1,0,0,1,3,0,1,0,1,3,1,0,3,0,0,1,0.25,0.03125,0.3125,0.03125,0.0625,0.3125
CuZn,9,0,0,0,0,1,1,3,0,3,0,1,1,2,0,2,0,0,1,0.25,0.03125,0.3125,0.03125,0.0625,0.3125
CoZn,9,0,0,1,0,0,1,3,0,1,0,0,4,2,0,2,0,0,1,0.25,0.03125,0.3125,0.03125,0.0625,0.3125
CoZn,9,0,0,1,0,0,1,3,0,1,0,1,3,1,0,3,0,0,1,0.25,0.03125,0.3125,0.03125,0.0625,0.3125
PtZn,9,1,0,0,0,0,1,1,0,3,0,1,3,1,1,1,0,0,2,0.25,0.03125,0.3125,0.03125,0.0625,0.3125
ZnZn,9,0,0,0,0,0,2,3,0,3,0,0,2,2,0,2,0,0,1,0.25,0.03125,0.3125,0.03125,0.0625,0.3125
CuZn,9,0,0,0,0,1,1,3,0,3,0,1,1,2,0,2,0,0,1,0.25,0.03125,0.3125,0.03125,0.0625,0.3125
PtCo,9,1,0,1,0,0,0,1,0,1,0,2,4,1,1,1,1,0,1,0.25,0.03125,0.3125,0.03125,0.0625,0.3125
CoCu,9,0,0,1,0,1,0,3,0,1,0,1,3,1,1,1,1,0,1,0.25,0.03125,0.3125,0.03125,0.0625,0.3125
CuCu,9,0,0,0,0,2,0,3,0,3,0,0,2,1,0,2,0,0,2,0.25,0.03125,0.3125,0.03125,0.0625,0.3125
PtCu,9,1,0,0,0,1,0,1,0,4,0,1,2,1,0,3,0,0,1,0.25,0.03125,0.40625,0.03125,0.09375,0.1875
CoCu,9,0,0,1,0,1,0,3,1,3,0,1,0,2,0,2,0,0,1,0.25,0.03125,0.40625,0.03125,0.09375,0.1875
CoCo,9,0,0,2,0,0,0,3,1,1,0,1,2,1,0,3,0,0,1,0.25,0.03125,0.40625,0.03125,0.09375,0.1875
CoZn,9,0,0,1,0,0,1,3,1,1,0,1,2,1,0,3,0,1,0,0.25,0.03125,0.40625,0.03125,0.09375,0.1875
ZnZn,9,0,0,0,0,0,2,3,0,3,0,0,2,1,0,2,0,1,1,0.25,0.03125,0.40625,0.03125,0.09375,0.1875
ZnZn,9,0,0,0,0,0,2,3,0,3,0,0,2,2,0,2,0,0,1,0.25,0.03125,0.40625,0.03125,0.09375,0.1875
PtZn,9,1,0,0,0,0,1,1,0,4,0,1,2,1,0,2,0,1,1,0.25,0.03125,0.40625,0.03125,0.09375,0.1875
PtCo,9,1,0,1,0,0,0,1,1,2,0,1,3,1,0,3,0,1,0,0.25,0.03125,0.40625,0.03125,0.09375,0.1875
PtZn,9,1,0,0,0,0,1,1,1,4,0,0,2,1,0,3,0,1,0,0.25,0.03125,0.40625,0.03125,0.09375,0.1875
CoZn,9,0,0,1,0,0,1,3,0,2,0,1,2,1,0,3,0,1,0,0.25,0.03125,0.40625,0.03125,0.09375,0.1875
FeCo,9,0,1,1,0,0,0,3,0,3,0,2,0,1,0,2,1,0,1,0.25,0.03125,0.40625,0.03125,0.09375,0.1875
CoZn,9,0,0,1,0,0,1,3,0,1,0,2,2,2,0,2,0,1,0,0.25,0.03125,0.40625,0.03125,0.09375,0.1875
PtFe,9,1,1,0,0,0,0,1,0,4,0,1,2,1,0,3,1,0,0,0.25,0.03125,0.40625,0.03125,0.09375,0.1875
FeCu,9,0,1,0,0,1,0,3,0,4,0,1,0,2,0,2,1,0,0,0.25,0.03125,0.40625,0.03125,0.09375,0.1875
CoCo,9,0,0,2,0,0,0,3,0,4,0,0,1,1,0,3,0,0,1,0.25,0.03125,0.53125,0.0625,0.03125,0.09375
CoCo,9,0,0,2,0,0,0,3,0,4,0,0,1,2,0,3,0,0,0,0.25,0.03125,0.53125,0.0625,0.03125,0.09375
FeCo,9,0,1,1,0,0,0,3,0,4,1,0,0,1,0,2,1,1,0,0.25,0.03125,0.53125,0.0625,0.03125,0.09375
CoCo,9,0,0,2,0,0,0,3,1,3,1,0,0,1,0,4,0,0,0,0.25,0.03125,0.53125,0.0625,0.03125,0.09375
PtFe,9,1,1,0,0,0,0,1,0,6,0,0,1,1,0,1,1,1,1,0.25,0.03125,0.53125,0.0625,0.03125,0.09375
CoCo,9,0,0,2,0,0,0,3,0,4,0,0,1,2,0,3,0,0,0,0.25,0.03125,0.53125,0.0625,0.03125,0.09375
CoCo,9,0,0,2,0,0,0,3,1,4,0,0,0,2,0,3,0,0,0,0.25,0.03125,0.53125,0.0625,0.03125,0.09375
CoCo,9,0,0,2,0,0,0,3,1,3,0,0,1,2,0,3,0,0,0,0.25,0.03125,0.53125,0.0625,0.03125,0.09375
PtZn,9,1,0,0,0,0,1,1,1,6,0,0,0,1,0,1,0,1,2,0.25,0.03125,0.53125,0.0625,0.03125,0.09375
CoCo,9,0,0,2,0,0,0,3,1,2,1,0,1,1,0,2,0,1,1,0.25,0.03125,0.53125,0.0625,0.03125,0.09375
CoNi,9,0,0,1,1,0,0,3,1,4,0,0,0,1,0,3,0,1,0,0.25,0.03125,0.53125,0.0625,0.03125,0.09375
CoNi,9,0,0,1,1,0,0,3,0,4,0,0,1,1,0,3,0,0,1,0.25,0.03125,0.53125,0.0625,0.03125,0.09375
CoCo,9,0,0,2,0,0,0,3,1,3,1,0,0,2,0,1,1,1,0,0.25,0.03125,0.53125,0.0625,0.03125,0.09375
CoCo,9,0,0,2,0,0,0,3,1,2,1,0,1,1,0,2,0,1,1,0.25,0.03125,0.53125,0.0625,0.03125,0.09375
PtNi,9,1,0,0,1,0,0,1,0,7,0,0,0,1,0,4,0,0,0,0.25,0.03125,0.53125,0.0625,0.03125,0.09375
PtCo,9,1,0,1,0,0,0,1,0,6,1,0,0,1,0,4,0,0,0,0.25,0.03125,0.53125,0.0625,0.03125,0.09375
CoNi,9,0,0,1,1,0,0,3,0,4,0,0,1,2,0,3,0,0,0,0.25,0.03125,0.53125,0.0625,0.03125,0.09375
FeFe,9,0,2,0,0,0,0,3,0,1,3,1,0,2,0,0,2,0,1,0.25,0.0625,0.09375,0.25,0.09375,0.25
PtFe,9,1,1,0,0,0,0,1,1,0,3,1,2,1,0,1,1,1,1,0.25,0.0625,0.09375,0.25,0.09375,0.25
PtCu,9,1,0,0,0,1,0,1,1,1,3,0,2,1,0,1,1,1,1,0.25,0.0625,0.09375,0.25,0.09375,0.25
ZnZn,9,0,0,0,0,0,2,3,0,0,3,0,2,2,0,2,0,0,1,0.25,0.0625,0.09375,0.25,0.09375,0.25
FeNi,9,0,1,0,1,0,0,3,1,1,1,0,2,1,0,0,1,2,1,0.25,0.0625,0.09375,0.25,0.09375,0.25
PtZn,9,1,0,0,0,0,1,1,1,0,3,1,2,1,0,0,2,1,1,0.25,0.0625,0.09375,0.25,0.09375,0.25
PtNi,9,1,0,0,1,0,0,1,2,0,1,1,3,1,0,0,3,0,1,0.25,0.0625,0.09375,0.25,0.09375,0.25
ZnZn,9,0,0,0,0,0,2,3,0,0,3,0,2,1,0,1,0,1,2,0.25,0.0625,0.09375,0.25,0.09375,0.25
PtZn,9,1,0,0,0,0,1,1,0,1,3,1,2,1,0,1,0,1,2,0.25,0.0625,0.09375,0.25,0.09375,0.25
ZnZn,9,0,0,0,0,0,2,3,0,0,3,0,2,2,0,0,0,2,1,0.25,0.0625,0.09375,0.25,0.09375,0.25
NiZn,9,0,0,0,1,0,1,3,1,1,1,0,2,2,0,0,0,2,1,0.25,0.0625,0.09375,0.25,0.09375,0.25
CoNi,9,0,0,1,1,0,0,3,1,0,1,1,2,1,0,0,1,2,1,0.25,0.0625,0.09375,0.25,0.09375,0.25
CoCu,9,0,0,1,0,1,0,3,2,0,3,0,0,2,0,0,2,0,1,0.25,0.0625,0.09375,0.25,0.09375,0.25
FeCo,9,0,1,1,0,0,0,3,1,0,3,1,0,1,0,0,2,0,2,0.25,0.0625,0.09375,0.25,0.09375,0.25
PtCo,9,1,0,1,0,0,0,1,1,0,3,1,2,1,0,1,1,1,1,0.25,0.0625,0.09375,0.25,0.09375,0.25
CuZn,9,0,0,0,0,1,1,3,1,2,0,1,1,2,1,0,0,0,2,0.25,0.0625,0.1875,0.0625,0.125,0.3125
CuZn,9,0,0,0,0,1,1,3,1,2,0,1,1,1,1,0,0,0,3,0.25,0.0625,0.1875,0.0625,0.125,0.3125
FeCu,9,0,1,0,0,1,0,3,0,0,1,1,3,2,1,0,0,0,2,0.25,0.0625,0.1875,0.0625,0.125,0.3125
FeZn,9,0,1,0,0,0,1,3,0,2,1,1,1,2,1,0,0,0,2,0.25,0.0625,0.1875,0.0625,0.125,0.3125
PtCo,9,1,0,1,0,0,0,1,0,2,0,2,3,1,0,1,0,1,2,0.25,0.0625,0.1875,0.0625,0.125,0.3125
PtFe,9,1,1,0,0,0,0,1,0,2,1,1,3,1,1,0,0,1,2,0.25,0.0625,0.1875,0.0625,0.125,0.3125
PtCu,9,1,0,0,0,1,0,1,1,2,0,1,3,1,1,0,0,1,2,0.25,0.0625,0.1875,0.0625,0.125,0.3125
PtCu,9,1,0,0,0,1,0,1,0,2,1,1,3,1,0,0,1,1,2,0.25,0.0625,0.1875,0.0625,0.125,0.3125
CoZn,9,0,0,1,0,0,1,3,0,2,1,1,1,1,0,1,0,1,2,0.25,0.0625,0.1875,0.0625,0.125,0.3125
CuZn,9,0,0,0,0,1,1,3,0,2,1,1,1,2,0,0,1,0,2,0.25,0.0625,0.1875,0.0625,0.125,0.3125
NiZn,9,0,0,0,1,0,1,3,1,2,0,1,1,1,0,0,1,2,1,0.25,0.0625,0.1875,0.0625,0.125,0.3125
PtZn,9,1,0,0,0,0,1,1,1,3,1,1,1,1,0,0,1,2,1,0.25,0.0625,0.1875,0.0625,0.125,0.3125
NiCu,9,0,0,0,1,1,0,3,1,0,0,1,3,2,0,0,1,0,2,0.25,0.0625,0.1875,0.0625,0.125,0.3125
FeNi,9,0,1,0,1,0,0,3,0,0,0,2,3,1,1,0,1,0,2,0.25,0.0625,0.1875,0.0625,0.125,0.3125
PtNi,9,1,0,0,1,0,0,1,1,2,0,1,3,1,0,1,1,0,2,0.25,0.0625,0.1875,0.0625,0.125,0.3125
NiZn,9,0,0,0,1,0,1,3,1,2,0,1,1,2,0,0,1,0,2,0.25,0.0625,0.1875,0.0625,0.125,0.3125
PtZn,9,1,0,0,0,0,1,1,1,3,1,1,1,1,0,1,0,0,3,0.25,0.0625,0.1875,0.0625,0.125,0.3125
PtCo,9,1,0,1,0,0,0,1,1,2,1,0,3,1,0,1,0,0,3,0.25,0.0625,0.1875,0.0625,0.125,0.3125
CoZn,9,0,0,1,0,0,1,3,0,2,1,1,1,1,0,1,0,0,3,0.25,0.0625,0.1875,0.0625,0.125,0.3125
CoNi,9,0,0,1,1,0,0,3,0,1,2,2,0,2,0,1,0,2,0,0.25,0.0625,0.3125,0.15625,0.1875,0.03125
CoCo,9,0,0,2,0,0,0,3,0,2,1,2,0,1,1,2,1,0,0,0.25,0.0625,0.3125,0.15625,0.1875,0.03125
CoNi,9,0,0,1,1,0,0,3,0,2,2,0,1,2,2,1,0,0,0,0.25,0.0625,0.3125,0.15625,0.1875,0.03125
CoZn,9,0,0,1,0,0,1,3,0,3,2,0,0,1,1,1,0,2,0,0.25,0.0625,0.3125,0.15625,0.1875,0.03125
CoNi,9,0,0,1,1,0,0,3,0,2,2,1,0,2,2,1,0,0,0,0.25,0.0625,0.3125,0.15625,0.1875,0.03125
CoCo,9,0,0,2,0,0,0,3,0,0,2,2,1,1,0,2,0,2,0,0.25,0.0625,0.3125,0.15625,0.1875,0.03125
CoCo,9,0,0,2,0,0,0,3,0,2,0,2,1,2,0,1,2,0,0,0.25,0.0625,0.3125,0.15625,0.1875,0.03125
PtCu,9,1,0,0,0,1,0,1,0,5,2,0,0,1,1,1,2,0,0,0.25,0.0625,0.3125,0.15625,0.1875,0.03125
PtCo,9,1,0,1,0,0,0,1,0,3,2,2,0,1,1,2,1,0,0,0.25,0.0625,0.3125,0.15625,0.1875,0.03125
NiNi,9,0,0,0,2,0,0,3,0,3,1,0,1,1,2,1,0,1,0,0.25,0.0625,0.3125,0.15625,0.1875,0.03125
PtNi,9,1,0,0,1,0,0,1,0,3,2,1,1,1,1,1,1,1,0,0.25,0.0625,0.3125,0.15625,0.1875,0.03125
CoCu,9,0,0,1,0,1,0,3,0,2,1,2,0,2,2,0,0,1,0,0.25,0.09375,0.15625,0.21875,0.25,0.03125
CoCu,9,0,0,1,0,1,0,3,0,2,1,2,0,2,2,0,0,1,0,0.25,0.09375,0.15625,0.21875,0.25,0.03125
PtFe,9,1,1,0,0,0,0,1,0,2,2,2,1,1,1,1,1,1,0,0.25,0.09375,0.15625,0.21875,0.25,0.03125
