site_type,Coordination_Number,Pt1,Fe1,Co1,Ni1,Cu1,Zn1,Pt2,Fe2,Co2,Ni2,Cu2,Zn2,Pt3,Fe3,Co3,Ni3,Cu3,Zn3,Pt_Ratio,Fe_Ratio,Co_Ratio,Ni_Ratio,Cu_Ratio,Zn_Ratio
FeCo,9,0,1,1,0,0,0,3,0,2,2,0,1,2,0,0,2,1,0,0.25,0.09375,0.15625,0.21875,0.25,0.03125
FeNi,9,0,1,0,1,0,0,3,0,1,1,2,1,1,0,2,1,1,0,0.25,0.09375,0.15625,0.21875,0.25,0.03125
CuCu,9,0,0,0,0,2,0,3,0,0,3,2,0,2,0,2,0,1,0,0.25,0.09375,0.15625,0.21875,0.25,0.03125
NiCu,9,0,0,0,1,1,0,3,1,0,1,2,1,2,0,2,0,1,0,0.25,0.09375,0.15625,0.21875,0.25,0.03125
PtCu,9,1,0,0,0,1,0,1,0,2,2,2,1,1,1,1,0,2,0,0.25,0.09375,0.15625,0.21875,0.25,0.03125
PtNi,9,1,0,0,1,0,0,1,1,2,0,3,1,1,1,2,0,1,0,0.25,0.09375,0.15625,0.21875,0.25,0.03125
CoCo,9,0,0,2,0,0,0,3,0,1,1,2,1,1,2,0,1,1,0,0.25,0.09375,0.15625,0.21875,0.25,0.03125
PtCo,9,1,0,1,0,0,0,1,0,2,2,2,1,1,1,1,1,1,0,0.25,0.09375,0.15625,0.21875,0.25,0.03125
FeZn,9,0,1,0,0,0,1,3,0,2,3,0,0,1,0,0,2,2,0,0.25,0.09375,0.15625,0.21875,0.25,0.03125
NiZn,9,0,0,0,1,0,1,3,1,1,1,2,0,1,0,2,1,1,0,0.25,0.09375,0.15625,0.21875,0.25,0.03125
FeCu,9,0,1,0,0,1,0,3,1,3,0,1,0,2,0,2,0,1,0,0.25,0.09375,0.25,0.1875,0.15625,0.0625
CoNi,9,0,0,1,1,0,0,3,1,1,2,1,0,1,0,2,1,0,1,0.25,0.09375,0.25,0.1875,0.15625,0.0625
FeCo,9,0,1,1,0,0,0,3,1,1,2,1,0,2,0,2,0,1,0,0.25,0.09375,0.25,0.1875,0.15625,0.0625
PtFe,9,1,1,0,0,0,0,1,1,3,2,1,0,1,0,2,1,1,0,0.25,0.09375,0.25,0.1875,0.15625,0.0625
NiNi,9,0,0,0,2,0,0,3,0,3,2,0,0,2,1,0,0,2,0,0.25,0.09375,0.25,0.1875,0.15625,0.0625
PtCu,9,1,0,0,0,1,0,1,1,3,2,1,0,1,1,2,1,0,0,0.25,0.09375,0.25,0.1875,0.15625,0.0625
NiNi,9,0,0,0,2,0,0,3,0,3,2,0,0,1,1,0,1,1,1,0.25,0.09375,0.25,0.1875,0.15625,0.0625
NiNi,9,0,0,0,2,0,0,3,0,3,2,0,0,2,0,0,1,0,2,0.25,0.09375,0.25,0.1875,0.15625,0.0625
CoNi,9,0,0,1,1,0,0,3,1,1,2,1,0,1,0,2,1,0,1,0.25,0.09375,0.25,0.1875,0.15625,0.0625
PtCo,9,1,0,1,0,0,0,1,2,1,3,1,0,1,0,3,1,0,0,0.25,0.09375,0.25,0.1875,0.15625,0.0625
FeFe,9,0,2,0,0,0,0,3,0,3,0,2,0,1,0,2,1,1,0,0.25,0.09375,0.25,0.1875,0.15625,0.0625
CoZn,9,0,0,1,0,0,1,3,0,4,0,1,0,1,1,1,1,1,0,0.25,0.09375,0.375,0.0625,0.125,0.09375
CoCo,9,0,0,2,0,0,0,3,1,2,0,1,1,2,1,1,0,1,0,0.25,0.09375,0.375,0.0625,0.125,0.09375
CoCu,9,0,0,1,0,1,0,3,1,4,0,0,0,1,1,1,0,1,1,0.25,0.09375,0.375,0.0625,0.125,0.09375
PtCo,9,1,0,1,0,0,0,1,1,4,0,2,0,1,0,1,2,1,0,0.25,0.09375,0.375,0.0625,0.125,0.09375
FeCo,9,0,1,1,0,0,0,3,0,4,0,1,0,1,0,1,1,1,1,0.25,0.09375,0.375,0.0625,0.125,0.09375
PtFe,9,1,1,0,0,0,0,1,0,6,0,1,0,1,0,1,2,0,1,0.25,0.09375,0.375,0.0625,0.125,0.09375
FeNi,9,0,1,0,1,0,0,3,1,0,3,1,0,2,0,0,1,1,1,0.25,0.125,0.0625,0.34375,0.0625,0.15625
NiCu,9,0,0,0,1,1,0,3,2,0,3,0,0,1,2,0,1,0,1,0.25,0.125,0.0625,0.34375,0.0625,0.15625
FeFe,9,0,2,0,0,0,0,3,0,0,4,0,1,2,0,0,1,1,1,0.25,0.125,0.0625,0.34375,0.0625,0.15625
FeNi,9,0,1,0,1,0,0,3,1,0,3,1,0,1,1,0,1,1,1,0.25,0.125,0.0625,0.34375,0.0625,0.15625
NiNi,9,0,0,0,2,0,0,3,1,0,2,0,2,2,0,2,1,0,0,0.25,0.125,0.0625,0.34375,0.0625,0.15625
PtCu,9,1,0,0,0,1,0,1,1,0,5,0,1,1,2,1,1,0,0,0.25,0.125,0.0625,0.34375,0.0625,0.15625
PtFe,9,1,1,0,0,0,0,1,1,0,4,1,1,1,1,1,1,1,0,0.25,0.125,0.0625,0.34375,0.0625,0.15625
FeZn,9,0,1,0,0,0,1,3,1,0,4,0,0,1,0,2,1,1,0,0.25,0.125,0.0625,0.34375,0.0625,0.15625
FeNi,9,0,1,0,1,0,0,3,1,0,2,0,2,1,0,0,2,1,1,0.25,0.125,0.0625,0.34375,0.0625,0.15625
NiZn,9,0,0,0,1,0,1,3,1,0,3,0,1,1,0,2,1,0,1,0.25,0.125,0.0625,0.34375,0.0625,0.15625
PtZn,9,1,0,0,0,0,1,1,1,0,5,1,0,1,1,2,1,0,0,0.25,0.125,0.0625,0.34375,0.0625,0.15625
NiNi,9,0,0,0,2,0,0,3,1,0,2,1,1,2,2,0,1,0,0,0.25,0.125,0.0625,0.34375,0.0625,0.15625
PtNi,9,1,0,0,1,0,0,1,0,0,4,1,2,1,1,1,1,0,1,0.25,0.125,0.0625,0.34375,0.0625,0.15625
CoZn,9,0,0,1,0,0,1,3,1,1,0,2,1,1,1,2,0,0,1,0.25,0.125,0.28125,0.03125,0.21875,0.09375
CuCu,9,0,0,0,0,2,0,3,0,3,0,2,0,2,1,1,0,1,0,0.25,0.125,0.28125,0.03125,0.21875,0.09375
PtCo,9,1,0,1,0,0,0,1,2,1,0,3,1,1,0,3,0,1,0,0.25,0.125,0.28125,0.03125,0.21875,0.09375
PtFe,9,1,1,0,0,0,0,1,1,3,0,2,1,1,0,2,1,1,0,0.25,0.125,0.28125,0.03125,0.21875,0.09375
PtCu,9,1,0,0,0,1,0,1,0,3,0,2,2,1,2,0,0,1,1,0.25,0.125,0.28125,0.03125,0.21875,0.09375
CuCu,9,0,0,0,0,2,0,3,0,3,0,2,0,1,2,0,0,2,0,0.25,0.125,0.28125,0.03125,0.21875,0.09375
CoCu,9,0,0,1,0,1,0,3,2,1,0,2,0,1,1,2,0,1,0,0.25,0.125,0.28125,0.03125,0.21875,0.09375
ZnZn,9,0,0,0,0,0,2,3,2,3,0,0,0,2,0,2,0,0,1,0.25,0.125,0.28125,0.03125,0.21875,0.09375
CuCu,9,0,0,0,0,2,0,3,0,3,0,2,0,2,1,0,1,1,0,0.25,0.125,0.28125,0.03125,0.21875,0.09375
FeFe,9,0,2,0,0,0,0,3,0,3,0,0,2,2,0,2,0,1,0,0.25,0.125,0.28125,0.03125,0.21875,0.09375
FeZn,9,0,1,0,0,0,1,3,1,3,0,0,1,1,0,2,0,1,1,0.25,0.125,0.28125,0.03125,0.21875,0.09375
PtFe,9,1,1,0,0,0,0,1,1,3,2,1,0,1,0,3,0,1,0,0.25,0.125,0.34375,0.1875,0.0625,0.03125
CoNi,9,0,0,1,1,0,0,3,1,1,2,0,1,1,0,3,1,0,0,0.25,0.125,0.34375,0.1875,0.0625,0.03125
PtZn,9,1,0,0,0,0,1,1,1,3,2,1,0,1,2,2,0,0,0,0.25,0.125,0.34375,0.1875,0.0625,0.03125
CoZn,9,0,0,1,0,0,1,3,1,1,2,1,0,1,2,2,0,0,0,0.25,0.125,0.34375,0.1875,0.0625,0.03125
FeZn,9,0,1,0,0,0,1,3,1,3,0,1,0,2,1,2,0,0,0,0.25,0.125,0.34375,0.1875,0.0625,0.03125
NiNi,9,0,0,0,2,0,0,3,0,3,2,0,0,2,1,1,1,0,0,0.25,0.125,0.34375,0.1875,0.0625,0.03125
CuZn,9,0,0,0,0,1,1,3,2,3,0,0,0,1,1,2,0,1,0,0.25,0.125,0.34375,0.1875,0.0625,0.03125
FeCu,9,0,1,0,0,1,0,3,1,3,0,0,1,2,0,2,0,1,0,0.25,0.125,0.34375,0.1875,0.0625,0.03125
PtCu,9,1,0,0,0,1,0,1,1,3,2,0,1,1,0,3,0,1,0,0.25,0.125,0.34375,0.1875,0.0625,0.03125
NiNi,9,0,0,0,2,0,0,3,0,3,2,0,0,1,1,1,2,0,0,0.25,0.125,0.34375,0.1875,0.0625,0.03125
CoNi,9,0,0,1,1,0,0,3,1,1,2,1,0,1,0,3,1,0,0,0.25,0.125,0.34375,0.1875,0.0625,0.03125
CoNi,9,0,0,1,1,0,0,3,1,1,1,1,1,2,1,0,0,1,1,0.25,0.15625,0.125,0.125,0.28125,0.0625
NiCu,9,0,0,0,1,1,0,3,0,1,1,2,1,1,1,0,1,1,1,0.25,0.15625,0.125,0.125,0.28125,0.0625
PtZn,9,1,0,0,0,0,1,1,1,2,1,3,0,1,0,1,2,1,0,0.25,0.15625,0.125,0.125,0.28125,0.0625
CoZn,9,0,0,1,0,0,1,3,0,1,2,2,0,1,1,0,2,1,0,0.25,0.15625,0.125,0.125,0.28125,0.0625
FeCu,9,0,1,0,0,1,0,3,1,1,0,3,0,1,2,1,0,1,0,0.25,0.15625,0.125,0.125,0.28125,0.0625
PtFe,9,1,1,0,0,0,0,1,0,1,2,4,0,1,2,0,0,1,1,0.25,0.15625,0.125,0.125,0.28125,0.0625
FeCu,9,0,1,0,0,1,0,3,0,1,0,3,1,1,2,0,1,1,0,0.25,0.15625,0.125,0.125,0.28125,0.0625
CuCu,9,0,0,0,0,2,0,3,2,0,0,2,1,1,0,1,1,2,0,0.25,0.15625,0.125,0.125,0.28125,0.0625
CuZn,9,0,0,0,0,1,1,3,0,2,1,2,0,2,0,0,2,1,0,0.25,0.15625,0.125,0.125,0.28125,0.0625
CuZn,9,0,0,0,0,1,1,3,1,2,0,2,0,2,0,0,2,1,0,0.25,0.15625,0.125,0.125,0.28125,0.0625
PtCu,9,1,0,0,0,1,0,1,2,1,1,2,1,1,0,1,1,2,0,0.25,0.15625,0.125,0.125,0.28125,0.0625
NiCu,9,0,0,0,1,1,0,3,2,2,1,0,0,1,1,0,0,2,1,0.25,0.15625,0.125,0.125,0.28125,0.0625
CoCu,9,0,0,1,0,1,0,3,2,1,1,0,1,2,2,0,0,1,0,0.25,0.15625,0.125,0.125,0.28125,0.0625
PtCo,9,1,0,1,0,0,0,1,2,1,0,3,1,1,1,1,1,1,0,0.25,0.15625,0.125,0.125,0.28125,0.0625
PtCu,9,1,0,0,0,1,0,1,2,2,1,2,0,1,2,1,0,1,0,0.25,0.15625,0.125,0.125,0.28125,0.0625
PtCu,9,1,0,0,0,1,0,1,2,3,0,0,2,1,0,3,1,0,0,0.25,0.15625,0.375,0.03125,0.03125,0.15625
FeFe,9,0,2,0,0,0,0,3,2,3,0,0,0,2,0,2,0,0,1,0.25,0.15625,0.375,0.03125,0.03125,0.15625
PtFe,9,1,1,0,0,0,0,1,2,3,0,0,2,1,1,3,0,0,0,0.25,0.15625,0.375,0.03125,0.03125,0.15625
CoZn,9,0,0,1,0,0,1,3,2,1,0,0,2,2,0,2,0,0,1,0.25,0.15625,0.375,0.03125,0.03125,0.15625
ZnZn,9,0,0,0,0,0,2,3,0,3,0,1,1,2,0,2,0,0,1,0.25,0.15625,0.375,0.03125,0.03125,0.15625
CoCu,9,0,0,1,0,1,0,3,2,1,0,0,2,2,0,2,1,0,0,0.25,0.15625,0.375,0.03125,0.03125,0.15625
FeCo,9,0,1,1,0,0,0,3,2,1,0,1,1,1,0,3,0,0,1,0.25,0.15625,0.375,0.03125,0.03125,0.15625
PtCo,9,1,0,1,0,0,0,1,3,1,0,1,2,1,0,3,1,0,0,0.25,0.15625,0.375,0.03125,0.03125,0.15625
ZnZn,9,0,0,0,0,0,2,3,0,3,0,1,1,1,0,2,1,0,1,0.25,0.15625,0.375,0.03125,0.03125,0.15625
CuZn,9,0,0,0,0,1,1,3,0,3,0,0,2,2,0,2,1,0,0,0.25,0.15625,0.375,0.03125,0.03125,0.15625
FeFe,9,0,2,0,0,0,0,3,2,3,0,0,0,1,1,2,0,0,1,0.25,0.15625,0.375,0.03125,0.03125,0.15625
FeFe,9,0,2,0,0,0,0,3,2,3,0,0,0,2,1,2,0,0,0,0.25,0.15625,0.375,0.03125,0.03125,0.15625
NiZn,9,0,0,0,1,0,1,3,1,2,2,0,0,1,2,0,1,0,1,0.25,0.1875,0.125,0.21875,0.03125,0.1875
NiNi,9,0,0,0,2,0,0,3,2,0,2,0,1,1,0,0,2,0,2,0.25,0.1875,0.125,0.21875,0.03125,0.1875
PtCo,9,1,0,1,0,0,0,1,2,1,2,1,1,1,1,1,0,0,2,0.25,0.1875,0.125,0.21875,0.03125,0.1875
PtFe,9,1,1,0,0,0,0,1,1,2,3,1,0,1,0,0,1,0,3,0.25,0.1875,0.125,0.21875,0.03125,0.1875
CoCu,9,0,0,1,0,1,0,3,1,2,0,0,2,1,2,1,1,0,0,0.25,0.1875,0.125,0.21875,0.03125,0.1875
CoCu,9,0,0,1,0,1,0,3,2,2,0,0,1,2,2,0,1,0,0,0.25,0.1875,0.125,0.21875,0.03125,0.1875
PtZn,9,1,0,0,0,0,1,1,0,2,3,1,1,1,3,0,1,0,0,0.25,0.1875,0.125,0.21875,0.03125,0.1875
NiZn,9,0,0,0,1,0,1,3,1,1,2,1,0,1,2,0,1,0,1,0.25,0.1875,0.125,0.21875,0.03125,0.1875
CuZn,9,0,0,0,0,1,1,3,1,2,2,0,0,2,2,0,1,0,0,0.25,0.1875,0.125,0.21875,0.03125,0.1875
FeFe,9,0,2,0,0,0,0,3,2,3,0,0,0,2,0,1,0,1,1,0.25,0.1875,0.3125,0.03125,0.125,0.09375
CuCu,9,0,0,0,0,2,0,3,0,3,0,0,2,1,1,2,0,1,0,0.25,0.1875,0.3125,0.03125,0.125,0.09375
CoCu,9,0,0,1,0,1,0,3,2,1,0,1,1,2,1,2,0,0,0,0.25,0.1875,0.3125,0.03125,0.125,0.09375
FeCo,9,0,1,1,0,0,0,3,2,1,0,1,1,1,0,2,0,1,1,0.25,0.1875,0.3125,0.03125,0.125,0.09375
FeFe,9,0,2,0,0,0,0,3,2,3,0,0,0,1,1,2,0,0,1,0.25,0.1875,0.3125,0.03125,0.125,0.09375
FeFe,9,0,2,0,0,0,0,3,2,3,0,0,0,2,1,1,1,0,0,0.25,0.1875,0.3125,0.03125,0.125,0.09375
CoCu,9,0,0,1,0,1,0,3,2,1,0,1,1,2,0,2,0,1,0,0.25,0.1875,0.3125,0.03125,0.125,0.09375
CuZn,9,0,0,0,0,1,1,3,0,3,0,1,1,2,0,2,0,1,0,0.25,0.1875,0.3125,0.03125,0.125,0.09375
NiCu,9,0,0,0,1,1,0,3,0,3,1,1,0,2,1,2,0,0,0,0.25,0.21875,0.25,0.15625,0.0625,0.0625
FeFe,9,0,2,0,0,0,0,3,2,3,0,0,0,1,1,0,2,0,1,0.25,0.21875,0.25,0.15625,0.0625,0.0625
FeFe,9,0,2,0,0,0,0,3,2,3,0,0,0,2,0,0,3,0,0,0.25,0.21875,0.25,0.15625,0.0625,0.0625
CoCu,9,0,0,1,0,1,0,3,2,1,1,1,0,1,1,1,2,0,0,0.25,0.21875,0.25,0.15625,0.0625,0.0625
PtNi,9,1,0,0,1,0,0,1,2,3,1,1,0,1,1,1,1,0,1,0.25,0.21875,0.25,0.15625,0.0625,0.0625
NiCu,9,0,0,0,1,1,0,3,0,3,1,1,0,2,1,2,0,0,0,0.25,0.21875,0.25,0.15625,0.0625,0.0625
CoNi,9,0,0,1,1,0,0,3,2,1,1,1,0,1,1,1,0,0,2,0.25,0.21875,0.25,0.15625,0.0625,0.0625
FeNi,9,0,1,0,1,0,0,3,0,2,1,1,1,2,1,2,0,0,0,0.25,0.25,0.28125,0.09375,0.03125,0.09375
PtNi,9,1,0,0,1,0,0,1,3,2,1,0,1,1,1,2,0,0,1,0.25,0.25,0.28125,0.09375,0.03125,0.09375
FeZn,9,0,1,0,0,0,1,3,2,1,1,1,0,1,1,1,0,0,2,0.25,0.25,0.28125,0.09375,0.03125,0.09375
FeZn,9,0,1,0,0,0,1,3,3,1,0,1,0,2,1,0,0,0,2,0.25,0.25,0.28125,0.09375,0.03125,0.09375
FeCo,9,0,1,1,0,0,0,3,3,0,1,0,1,1,1,2,0,0,1,0.25,0.25,0.28125,0.09375,0.03125,0.09375
FeFe,9,0,2,0,0,0,0,3,2,2,0,0,1,2,1,0,0,0,2,0.25,0.25,0.28125,0.09375,0.03125,0.09375
FeZn,9,0,1,0,0,0,1,3,3,1,0,1,0,2,1,0,0,0,2,0.25,0.25,0.28125,0.09375,0.03125,0.09375
FeFe,9,0,2,0,0,0,0,3,2,2,0,0,1,1,1,1,1,0,1,0.25,0.25,0.28125,0.09375,0.03125,0.09375
FeFe,9,0,2,0,0,0,0,3,2,3,0,0,0,2,0,2,1,0,0,0.25,0.25,0.28125,0.09375,0.03125,0.09375
NiCu,9,0,0,0,1,1,0,3,1,2,1,0,1,2,1,2,0,0,0,0.25,0.25,0.28125,0.09375,0.03125,0.09375
NiZn,9,0,0,0,1,0,1,3,1,1,1,1,1,1,2,0,0,2,0,0.25,0.28125,0.0625,0.125,0.15625,0.125
FeCu,9,0,1,0,0,1,0,3,1,0,1,2,1,1,3,0,0,1,0,0.25,0.3125,0.03125,0.125,0.15625,0.125
FeZn,9,0,1,0,0,0,1,3,1,0,1,2,1,2,2,0,1,0,0,0.25,0.3125,0.03125,0.125,0.15625,0.125
NiZn,9,0,0,0,1,0,1,3,3,0,1,0,1,2,2,0,1,0,0,0.25,0.3125,0.03125,0.125,0.15625,0.125
FeNi,9,0,1,0,1,0,0,3,1,0,1,2,1,1,1,1,1,0,1,0.25,0.3125,0.03125,0.125,0.15625,0.125
NiZn,9,0,0,0,1,0,1,3,3,0,1,0,1,2,2,0,0,0,1,0.25,0.34375,0.1875,0.0625,0.03125,0.125
NiZn,9,0,0,0,1,0,1,3,3,0,1,0,1,2,2,0,0,1,0,0.25,0.34375,0.1875,0.0625,0.03125,0.125
